City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Thompson,CA,55.74,-97.86,15.8,85,90,3.36,overcast clouds
167,Sinazongwe,ZM,-17.26,27.46,82.53,39,6,3.44,clear sky
168,Vardo,NO,70.37,31.11,40.41,71,64,37.2,broken clouds
169,Bengkulu,ID,-3.8,102.27,84.9,65,91,6.98,overcast clouds
170,Yozgat,TR,39.58,35.33,36.79,89,0,8.3,clear sky
171,Port Blair,IN,11.67,92.75,84.58,73,1,11.59,light rain
172,Westport,US,41.14,-73.36,57.0,81,1,4.61,clear sky
173,Zyryanka,RU,65.75,150.85,-2.13,92,96,4.81,overcast clouds
174,Siniscola,IT,40.57,9.69,53.6,93,98,2.24,overcast clouds
175,Kochki,RU,54.34,80.48,40.59,67,60,17.96,broken clouds
176,Batagay,RU,67.63,134.63,-23.48,84,43,1.5,scattered clouds
177,Vila Franca Do Campo,PT,37.72,-25.43,57.2,71,20,6.93,few clouds
178,Betsiamites,CA,48.94,-68.65,32.0,90,40,6.93,scattered clouds
179,Sovetskaya,RU,44.78,41.17,81.75,99,39,4.36,scattered clouds
180,Barcelos,PT,41.54,-8.62,62.6,82,40,20.8,scattered clouds
181,Shingu,JP,33.73,135.98,66.2,55,75,13.87,broken clouds
182,Coari,BR,-4.08,-63.14,74.37,96,92,3.04,overcast clouds
183,Talbahat,IN,25.05,78.43,76.66,25,0,1.07,clear sky
184,Rio Grande,BR,-32.03,-52.1,62.69,91,0,10.02,clear sky
185,Roald,NO,62.58,6.13,43.0,93,100,3.36,mist
186,Cordoba,AR,-31.41,-64.18,73.0,67,0,6.93,clear sky
187,Simbahan,PH,6.3,120.58,82.53,74,10,7.47,clear sky
188,Kamenka,RU,51.32,42.77,36.0,95,4,11.65,clear sky
189,Beloha,MG,-25.17,45.05,79.29,62,0,3.4,clear sky
190,Grand Gaube,MU,-20.01,57.66,75.99,73,26,11.01,light rain
191,Inhambane,MZ,-23.86,35.38,78.8,94,0,13.87,clear sky
192,Lompoc,US,34.64,-120.46,51.8,87,40,11.99,scattered clouds
193,Nanortalik,GL,60.14,-45.24,29.12,97,100,16.2,overcast clouds
194,Gat,IL,31.61,34.76,64.0,79,5,1.74,light rain
195,Leningradskiy,RU,69.38,178.42,17.85,95,100,8.46,overcast clouds
196,Provideniya,RU,64.38,-173.3,27.55,93,3,5.95,clear sky
197,Snasa,NO,64.25,12.38,36.73,81,80,5.7,broken clouds
198,Kontagora,NG,10.4,5.47,69.69,30,47,5.3,scattered clouds
199,Esperance,AU,-33.87,121.9,77.0,53,17,8.05,few clouds
200,Tondon,GN,10.37,-13.35,73.67,93,0,0.63,clear sky
201,Vostok,RU,46.49,135.88,28.02,94,97,4.88,snow
202,Praia Da Vitoria,PT,38.73,-27.07,55.99,93,75,11.77,broken clouds
203,Xianshuigu,CN,38.98,117.38,57.2,15,0,11.18,clear sky
204,Zapolyarnyy,RU,69.42,30.81,35.6,96,75,20.8,broken clouds
205,Plyussa,RU,58.43,29.37,49.69,83,100,9.75,overcast clouds
206,Canmore,CA,51.08,-115.35,21.2,62,100,4.7,light snow
207,Leshukonskoye,RU,64.9,45.76,32.99,95,100,12.33,overcast clouds
